seed,method,block,rmse,mae,nll,coverage50,coverage90,coverage95,runtime_sec
0,no_transfer,0,0.058626206495237955,0.04315345779089449,-1.3355543128765441,0.6333333333333333,0.9666666666666667,0.9666666666666667,0.0005025080008635996
0,no_transfer,1,0.042668233460715035,0.03307270116970922,-1.4544236341885803,0.8333333333333334,0.9666666666666667,0.9666666666666667,0.0007214259985630633
0,no_transfer,2,0.0516585734454856,0.03874460262197354,-1.3914186357262592,0.7,0.9666666666666667,1.0,0.000371232999896165
0,no_transfer,3,0.05642805119577404,0.04618507502670341,-1.306941145094801,0.6333333333333333,0.9666666666666667,0.9666666666666667,0.00034277899976586923
0,no_transfer,4,0.0743399970313148,0.05521833752827456,-1.2643861890956332,0.4666666666666667,0.9333333333333333,1.0,0.00035579500035964884
0,no_transfer,5,0.11044801350861079,0.09949180024755196,-0.7470911360070659,0.06666666666666667,0.8,0.9,0.00028484200083767064
0,no_transfer,6,0.11734032233847401,0.10236407789587933,-0.5829956047451078,0.26666666666666666,0.7666666666666667,0.8666666666666667,0.0002965340008813655
0,no_transfer,7,0.09574655335849842,0.08264369392454626,-0.9143809588405978,0.26666666666666666,0.7666666666666667,0.9333333333333333,0.000318955000693677
0,projected_prior,0,0.058626206495237955,0.04315345779089449,-1.3355543128765441,0.6333333333333333,0.9666666666666667,0.9666666666666667,0.00037707400042563677
0,projected_prior,1,0.040964397893383006,0.032797942091936726,-1.4892859103282168,0.8333333333333334,0.9666666666666667,0.9666666666666667,0.0004596779999701539
0,projected_prior,2,0.049389099000308204,0.03743506771083485,-1.4263758515803595,0.7666666666666667,0.9333333333333333,0.9666666666666667,0.0003474379991530441
0,projected_prior,3,0.05409330966100598,0.04554220736745371,-1.3246006211763668,0.6,0.9666666666666667,1.0,0.00046697099969605915
0,projected_prior,4,0.07948349962243774,0.05984185364340733,-1.2368525598010351,0.4666666666666667,0.8666666666666667,0.9666666666666667,0.00035377099993638694
0,projected_prior,5,0.11820996312182755,0.1064074445093988,-0.6115327971411234,0.06666666666666667,0.7333333333333333,0.8666666666666667,0.000330087001202628
0,projected_prior,6,0.1249843201584722,0.10834715060091758,-0.3043528573252176,0.16666666666666666,0.6333333333333333,0.8,0.00036274699959903955
0,projected_prior,7,0.09350644007385825,0.081468539156905,-0.8410634289110426,0.23333333333333334,0.8666666666666667,0.9333333333333333,0.00036781600101676304
0,ssgp_transfer,0,0.058626206495237955,0.04315345779089449,-1.3355543128765441,0.6333333333333333,0.9666666666666667,0.9666666666666667,0.0003206589990440989
0,ssgp_transfer,1,0.04355024732932808,0.03447363323975687,-1.4707256061859015,0.8333333333333334,0.9666666666666667,1.0,0.0003058709990000352
0,ssgp_transfer,2,0.05727912483333404,0.044144828134673436,-1.3617667762979797,0.7333333333333333,0.9333333333333333,0.9333333333333333,0.00029552200066973455
0,ssgp_transfer,3,0.0716476197941928,0.06248590062802807,-1.0742803660162124,0.4,0.9,0.9333333333333333,0.00029959899984532967
0,ssgp_transfer,4,0.08842942445656032,0.0634740609214064,-1.1270041711380172,0.5333333333333333,0.8333333333333334,0.9,0.00029007199918851256
0,ssgp_transfer,5,0.11644149265741176,0.10278471258874959,-0.5722920677546793,0.16666666666666666,0.7,0.8,0.0003994759990746388
0,ssgp_transfer,6,0.13348883090260052,0.11395368325432596,-0.08308409885779902,0.23333333333333334,0.5333333333333333,0.7,0.0003092869992542546
0,ssgp_transfer,7,0.1317075846335719,0.10920576522330755,0.1535049866624057,0.3333333333333333,0.6,0.7333333333333333,0.0002875970003515249
1,no_transfer,0,0.07514083296373122,0.06490143452289555,-1.2359248175771747,0.4,0.9666666666666667,1.0,0.0003758310012926813
1,no_transfer,1,0.060165618470061404,0.05072227395526171,-1.3546743646306942,0.6,1.0,1.0,0.0002939990008599125
1,no_transfer,2,0.06639867220403674,0.053904336658409706,-1.2510776018959637,0.5666666666666667,0.9333333333333333,0.9333333333333333,0.00034446300014678854
1,no_transfer,3,0.04789931045574065,0.03826878198420818,-1.3927577928547303,0.7,0.9666666666666667,0.9666666666666667,0.0002748730003077071
1,no_transfer,4,0.03858123242469043,0.03264991948468308,-1.467172852825953,0.7333333333333333,1.0,1.0,0.00027401099941926077
1,no_transfer,5,0.07120352320383153,0.058872247444345376,-1.2523086145716646,0.43333333333333335,0.9666666666666667,0.9666666666666667,0.0002889989991672337
1,no_transfer,6,0.10284651033888166,0.09025083435157548,-0.7278239161029336,0.36666666666666664,0.7666666666666667,0.8666666666666667,0.0002702050005609635
1,no_transfer,7,0.08056586862170857,0.06788579321113121,-1.1282774291562017,0.43333333333333335,0.9,0.9333333333333333,0.0006296449992078124
1,projected_prior,0,0.07514083296373122,0.06490143452289555,-1.2359248175771747,0.4,0.9666666666666667,1.0,0.0006067820013413439
1,projected_prior,1,0.062025984050223706,0.05144254390879173,-1.3205433531209394,0.5333333333333333,0.9333333333333333,1.0,0.0009502630000497447
1,projected_prior,2,0.06530232938993362,0.04961237965770324,-1.2659996818665282,0.6,0.9333333333333333,0.9333333333333333,0.0006644599998253398
1,projected_prior,3,0.05238391810718917,0.043127850053910635,-1.4004878609949947,0.6333333333333333,0.9666666666666667,1.0,0.0008165340004779864
1,projected_prior,4,0.04074145668324713,0.03550917804099554,-1.4778276088209887,0.7333333333333333,1.0,1.0,0.0006726960000378313
1,projected_prior,5,0.05279448990586436,0.042594650515541545,-1.4276455341121057,0.6666666666666666,0.9666666666666667,0.9666666666666667,0.000719912999556982
1,projected_prior,6,0.08064512874270248,0.06820309528309514,-0.996528609754965,0.43333333333333335,0.8333333333333334,0.9,0.0007638359984412091
1,projected_prior,7,0.05958497425581466,0.04794657800261611,-1.3077490148801185,0.6666666666666666,0.9333333333333333,0.9333333333333333,0.000729862998923636
1,ssgp_transfer,0,0.07514083296373122,0.06490143452289555,-1.2359248175771747,0.4,0.9666666666666667,1.0,0.0005167950002942234
1,ssgp_transfer,1,0.06535259116543014,0.055169525098062874,-1.2791019665614487,0.5333333333333333,0.9333333333333333,0.9666666666666667,0.0006282829999690875
1,ssgp_transfer,2,0.06893299210029377,0.05253132149895938,-1.2588665706489688,0.6333333333333333,0.9333333333333333,0.9333333333333333,0.000295030999041046
1,ssgp_transfer,3,0.07118077587733916,0.05933657278798596,-1.1932031402309033,0.43333333333333335,0.9333333333333333,0.9666666666666667,0.0003641090006567538
1,ssgp_transfer,4,0.07819121358341788,0.06263529363450876,-1.054779443941096,0.5666666666666667,0.8333333333333334,0.9,0.0003149580006720498
1,ssgp_transfer,5,0.07923872663955274,0.06858882202037596,-1.0051623544960782,0.36666666666666664,0.8666666666666667,0.9,0.0002917640013038181
1,ssgp_transfer,6,0.10400193626854227,0.09125099864675319,-0.565664668015152,0.3,0.7333333333333333,0.7333333333333333,0.00028585299878614023
1,ssgp_transfer,7,0.11027503586018311,0.0852620341750546,-0.2373759953947907,0.4,0.8,0.8333333333333334,0.00030930799948691856
2,no_transfer,0,0.1602611695872144,0.14545829067517227,0.1588971289836859,0.0,0.5,0.7666666666666667,0.0003112009999313159
2,no_transfer,1,0.14596542418978295,0.1316401218165853,-0.07068544303915852,0.1,0.5,0.7666666666666667,0.00037437900027725846
2,no_transfer,2,0.11446505120137496,0.09960774934865554,-0.6841009836264283,0.13333333333333333,0.7666666666666667,0.9,0.0003390829988347832
2,no_transfer,3,0.1278507878606483,0.11450573754049871,-0.42475855591530887,0.13333333333333333,0.7,0.7333333333333333,0.0003907689988409402
2,no_transfer,4,0.10876029046240615,0.09811612971750451,-0.7560259174100386,0.13333333333333333,0.8333333333333334,0.8666666666666667,0.0003656530006992398
2,no_transfer,5,0.0900753420460804,0.07850616479034213,-1.0330311727166006,0.23333333333333334,0.8666666666666667,0.9666666666666667,0.00032588800058874767
2,no_transfer,6,0.059290884448241266,0.050956180642341094,-1.2782695423408865,0.6,0.9666666666666667,0.9666666666666667,0.00027695700009644497
2,no_transfer,7,0.050402920224838645,0.04298621697278281,-1.4009684069818549,0.6333333333333333,1.0,1.0,0.0002662170008989051
2,projected_prior,0,0.1602611695872144,0.14545829067517227,0.1588971289836859,0.0,0.5,0.7666666666666667,0.0003185639998264378
