hippo_mean_abs_error,ordinary_mean_abs_error,ordinary_minus_hippo,scored,state
0.1212112328460803,0.12187408423910721,0.0006628513930268851,True,Alabama
0.21953232641014148,0.21504393102086025,-0.004488395389281189,True,Alaska
0.09587517775916575,0.09405834905862467,-0.0018168287005410734,True,Arizona
,,,False,Arkansas
0.08927064819545288,0.09660535137543323,0.007334703179980343,True,California
0.11720274305682335,0.1116644507835258,-0.005538292273297538,True,Colorado
0.11900676590633157,0.11096707672126857,-0.008039689185062994,True,Connecticut
,,,False,Delaware
0.2064917420034582,0.211187509206045,0.004695767202586835,True,District of Columbia
,,,False,Florida
0.10066872876511025,0.10758287306302275,0.006914144297912496,True,Georgia
0.16826157695987243,0.18574439284275995,0.017482815882887557,True,Hawaii
0.15209699113896194,0.15546934182193514,0.003372350682973176,True,Idaho
,,,False,Illinois
0.09736899134243868,0.08923395751988508,-0.008135033822553593,True,Indiana
0.12587287337308276,0.12556654209873958,-0.0003063312743431807,True,Iowa
0.13647264970081882,0.1388187196646994,0.002346069963880633,True,Kansas
0.13364838435274073,0.1371407153615776,0.003492331008836879,True,Kentucky
0.1303029883848828,0.12331926180612782,-0.006983726578754977,True,Louisiana
,,,False,Maine
,,,False,Maryland
,,,False,Massachusetts
0.08371308782694824,0.10707969670971931,0.02336660888277106,True,Michigan
,,,False,Minnesota
0.14911822442440054,0.15615943335567384,0.007041208931273285,True,Mississippi
0.09006478160554744,0.08914927240622311,-0.0009155091993243483,True,Missouri
0.20195858701199457,0.21031910019784275,0.008360513185848214,True,Montana
,,,False,Nebraska
0.11812045711372109,0.12001054694155273,0.0018900898278316454,True,Nevada
0.19069050438232252,0.18693807735619164,-0.0037524270261308818,True,New Hampshire
,,,False,New Jersey
0.15806112897755453,0.15590218770759207,-0.0021589412699624623,True,New Mexico
0.09869525654717243,0.0913406560244182,-0.0073546005227542064,True,New York
,,,False,North Carolina
0.2027468615213571,0.19818847926448377,-0.004558382256873336,True,North Dakota
0.08760154836197054,0.08135811540311466,-0.006243432958855894,True,Ohio
0.12250686824011613,0.1252955882927815,0.002788720052665329,True,Oklahoma
,,,False,Oregon
0.08423972911811475,0.0822563708508719,-0.0019833582672428495,True,Pennsylvania
0.20946507607754522,0.2146978117200577,0.005232735642512494,True,Rhode Island
0.09440521897080935,0.09338961152208712,-0.0010156074487222195,True,South Carolina
,,,False,South Dakota
0.10059944049917237,0.09624449641242012,-0.004354944086752249,True,Tennessee
,,,False,Texas
,,,False,Utah
0.24375958497216943,0.24336865337168676,-0.00039093160048267304,True,Vermont
0.07866974215772995,0.09256655224114606,0.013896810083416113,True,Virginia
,,,False,Washington
0.12873468167056942,0.12267410426343882,-0.0060605774071305855,True,West Virginia
0.09741306110824294,0.11891535054734852,0.021502289439105586,True,Wisconsin
0.2755739877731004,0.2776560776565332,0.0020820898834328157,True,Wyoming
0.20886919150599556,0.21996268811891348,0.011093496612917877,True,Puerto Rico
